id,name,email,amount,date,category,active,quantity,rating
rec-000001,Peter Chapman,bobernhard@watson.io,491.91,2026-05-24T17:27:06+05:30,health,false,54,1.9
rec-000002,Colt Lawson,cristianhill@walters.name,800.77,2025-12-16T17:27:06+05:30,automotive,true,77,1.7
rec-000003,Meaghan Beahan,derrickpowell@lawson.com,866.72,not-a-date,health,true,77,4.3
rec-000004,Dorris Newton,chance.james90@horton.io,793.25,2025-08-23T17:27:06+05:30,books,true,49,4.8
rec-000005,Gustave Schaefer,janice.norman64@walton.com,570.18,2024-08-15T17:27:06+05:30,health,true,27,4.5
rec-000006,Giles Marquardt,abraun4@sandoval.biz,551.71,2024-08-21T17:27:06+05:30,health,true,28,2.5
rec-000007,,agardner@freeman.io,288.48,2026-06-18T17:27:06+05:30,sports,true,46,3.6
rec-000008,Athena Crawford,kmcdonald9@frazier.info,119.81,2025-10-19T17:27:06+05:30,furniture,true,4,1.3
rec-000009,Adrain Cox,alanna_grimes4@barrows.com,226.17,2025-01-11T17:27:06+05:30,furniture,true,70,2.0
rec-000010,Brenda Williamson,kyle-hernandez@morris.biz,924.92,2026-05-06T17:27:06+05:30,toys,true,46,2.6
rec-000011,Naomi Ramos,celine-rivera@gibson.com,116.89,2025-09-27T17:27:06+05:30,automotive,false,94,2.2
rec-000012,Ernie Little,carrieshelton@jordan.com,897.14,2024-12-30T17:27:06+05:30,electronics,true,93,1.3
rec-000013,Catalina Daugherty,daren_herzog@tyler.com,781.59,2025-09-18T17:27:06+05:30,automotive,true,80,4.6
rec-000014,Nola Herzog,roderickklein@hartmann.info,44.27,2025-12-30T17:27:06+05:30,garden,true,37,1.7
rec-000015,Darrel Young,ablake19@ramos.info,162.52,2025-09-21T17:27:06+05:30,health,false,77,4.4
rec-000016,Geoffrey Jones,nealduncan@hackett.com,734.90,2026-04-26T17:27:06+05:30,automotive,true,74,4.5
rec-000017,Haylie Manning,lew.hayes6@ashley.biz,650.92,2025-10-01T17:27:06+05:30,sports,true,1,1.4
rec-000018,Lila Newton,billy-kling6@cox.name,606.38,2026-02-12T17:27:06+05:30,furniture,true,10,4.9
rec-000019,Curtis King,sammy.johnson@watkins.info,80.75,not-a-date,electronics,true,81,4.4
rec-000020,John Larkin,jessyhawkins@reid.net,287.00,2024-08-26T17:27:06+05:30,sports,false,11,2.0
rec-000021,Cory Brooks,nwilson4@navarro.org,906.06,2026-02-21T17:27:06+05:30,books,true,85,5.0
rec-000022,Mia Schultz,not-an-email,162.53,2024-10-28T17:27:06+05:30,furniture,true,45,1.6
