id,name,email,amount,date,category,active,quantity,rating
rec-000001,Haylee Lind,pvargas@lind.name,888.75,2024-11-05T17:27:05+05:30,books,true,17,3.1
rec-000002,Alison Johnston,drobertson@lambert.org,85.12,2026-05-03T17:27:05+05:30,books,true,16,1.0
rec-000003,Michael Mccarthy,skennedy@hammond.biz,258.74,2024-09-04T17:27:05+05:30,garden,false,33,4.2
rec-000004,Emmanuelle Kuhn,christysingleton10@mckenzie.name,849.59,2025-09-10T17:27:05+05:30,electronics,true,83,4.7
rec-000005,Cyril West,clevehills@wallace.org,639.62,2024-11-26T17:27:05+05:30,sports,false,64,0.1
rec-000006,Cleora Clayton,gabegottlieb@maldonado.name,806.52,2024-10-30T17:27:05+05:30,food,true,85,3.5
rec-000007,Gwen Clay,cristiansimpson@harrison.io,749.27,2025-08-17T17:27:05+05:30,clothing,true,40,2.5
rec-000008,Lowell Lucas,dellawilkins@stephens.biz,301.03,2025-06-17T17:27:05+05:30,clothing,true,38,1.3
rec-000009,Dallas Sutton,bkuhn@robinson.net,734.46,2025-10-18T17:27:05+05:30,clothing,true,50,4.7
rec-000010,Amir Vincent,zoeramsey@tran.info,188.56,2026-04-02T17:27:05+05:30,electronics,true,96,0.4
rec-000011,Paris Herrera,cboyle@bayer.name,67.91,2026-05-29T17:27:05+05:30,sports,true,31,0.6
rec-000012,Erik Brady,bcook@schaefer.net,234.07,not-a-date,books,false,3,3.6
rec-000013,Cydney Wall,altakeller@herzog.io,353.93,2025-09-03T17:27:05+05:30,toys,false,73,3.0
rec-000014,Dock Daugherty,herbert-weber@schultz.name,286.67,2025-12-25T17:27:05+05:30,sports,false,73,4.8
rec-000015,Julie Lucas,guidowall@white.com,560.16,2024-07-12T17:27:05+05:30,sports,true,33,5.0
rec-000016,Frances Brown,chetr@velazquez.io,198.43,2026-01-17T17:27:05+05:30,garden,true,2,3.1
rec-000017,Gabriel Bernhard,alaynawood@walter.net,884.94,2026-01-24T17:27:05+05:30,toys,true,98,1.4
rec-000018,Blair Nguyen,geraldmcclure@perez.biz,597.27,2025-11-01T17:27:05+05:30,toys,true,66,1.6
rec-000019,Nathanael Cole,patriciamorrison@cox.com,50.74,2024-12-11T17:27:05+05:30,food,false,48,4.7
rec-000020,Maurice Weber,mario.santiago@bailey.io,254.19,2024-09-25T17:27:05+05:30,electronics,true,14,1.8
rec-000021,Grant Moore,karley.hamilton70@stephens.com,783.85,2025-11-10T17:27:05+05:30,sports,true,4,3.4
rec-000022,Mustafa White,johnathanosinski@valencia.com,304.66,2024-09-27T17:27:05+05:30,furniture,true,74,3.1
rec-000023,Russell Thomas,elarkin@valdez.name,283.64,2026-01-26T17:27:05+05:30,automotive,true,29,3.1
rec-000024,Graciela Ray,courtney.garrison@richards.io,806.99,2025-02-25T17:27:05+05:30,electronics,true,93,3.9
rec-000025,Dandre Haley,jadehowell@russell.info,49.11,2025-12-23T17:27:05+05:30,clothing,true,35,1.1
rec-000026,Travis Thomas,augustus_rogers@grimes.name,653.88,2026-03-18T17:27:05+05:30,toys,false,1,2.6
rec-000027,Janet Jimenez,evelynrichardson@ramirez.info,329.20,2025-08-29T17:27:05+05:30,clothing,true,49,2.1
rec-000028,Aurelia Bergstrom,fanniefleming@baldwin.org,704.64,2026-03-23T17:27:05+05:30,electronics,true,31,2.4
rec-000029,August Gardner,abdullahvega@wood.org,419.15,2025-06-23T17:27:05+05:30,sports,false,1,2.9
rec-000030,Elsa Shelton,lilly.carr@jones.info,787.58,2024-12-12T17:27:05+05:30,books,true,13,0.9
rec-000031,Alayna Wall,keith.brady5@henderson.name,612.42,2024-09-24T17:27:05+05:30,clothing,true,65,4.1
rec-000032,Olga Diaz,adella.medina@may.org,17.17,2025-06-05T17:27:05+05:30,sports,true,17,0.9
rec-000033,Jena Sparks,jameson_harrison@mcdermott.org,258.05,2025-02-09T17:27:05+05:30,toys,true,38,2.7
rec-000034,Brett Atkinson,abel.palmer@christiansen.org,246.78,2025-08-07T17:27:05+05:30,health,false,22,3.4
rec-000035,Audra Jenkins,alyssoncruz@medina.biz,998.07,2024-09-11T17:27:05+05:30,health,true,14,0.2
rec-000036,Silas Hoffman,keanuflores@hughes.biz,464.58,2025-04-21T17:27:05+05:30,books,true,4,4.1
rec-000037,Alvena Price,oklein@powell.info,466.42,2024-10-09T17:27:05+05:30,clothing,true,30,0.5
rec-000038,Elmer White,ciara_harvey@wood.net,575.29,2026-03-25T17:27:05+05:30,sports,true,58,3.6
rec-000039,Chaim Douglas,carley.garcia@snyder.io,946.58,2024-07-26T17:27:05+05:30,health,true,79,1.6
rec-000040,,sandra-wood@thomas.org,915.24,2025-05-15T17:27:05+05:30,garden,false,24,3.6
rec-000041,Eileen Moore,mariana.reed@wagner.io,254.12,2024-11-17T17:27:05+05:30,furniture,true,67,3.6
