id,name,email,amount,date,category,active,quantity,rating
rec-000001,Gideon Palmer,egoodwin63@mitchell.biz,291.29,2025-10-13T17:27:05+05:30,electronics,true,45,3.4
rec-000002,Buster Villarreal,pvillarreal@schiller.info,460.63,2026-01-11T17:27:05+05:30,health,true,29,2.6
rec-000003,Margaret Guzman,marie_bogan@mckenzie.info,109.17,2025-04-26T17:27:05+05:30,clothing,true,64,3.9
rec-000004,Dane Lawson,lilly.simmons@mills.name,257.72,2025-01-14T17:27:05+05:30,electronics,true,82,2.3
rec-000005,Brad Hamilton,brenda.rodriguez79@schaefer.biz,613.46,2025-09-07T17:27:05+05:30,garden,true,52,5.0
rec-000006,Guy Navarro,alexie.lee@gleichner.io,335.51,2025-06-21T17:27:05+05:30,automotive,true,59,3.3
rec-000007,Duane Ashley,hiram.lind@ball.biz,486.02,2026-04-04T17:27:05+05:30,books,true,37,1.7
rec-000008,Armando Ortiz,lawrence.beatty@douglas.net,931.08,2026-01-02T17:27:05+05:30,books,false,19,3.7
rec-000009,Ian Gonzalez,jose.schwartz17@meyer.io,171.05,2025-12-25T17:27:05+05:30,sports,false,49,4.2
rec-000010,Elton Flores,cboyer@ortiz.org,85.39,2024-08-16T17:27:05+05:30,clothing,true,3,3.5
rec-000011,Daija Strong,madiehughes58@lawrence.net,504.20,2025-10-22T17:27:05+05:30,furniture,true,69,4.2
rec-000012,Arnaldo Lind,alvinamclaughlin@robbins.io,923.71,2025-04-21T17:27:05+05:30,clothing,true,50,1.6
rec-000013,Cleora Walters,eberry@gilbert.info,409.85,2025-08-20T17:27:05+05:30,automotive,true,80,2.7
rec-000014,Alex Mendoza,kane.gleason@ramos.net,974.70,2025-12-11T17:27:05+05:30,electronics,true,37,4.8
rec-000015,Carrie Doyle,katherine.lee@campbell.org,-146.00,2025-06-13T17:27:05+05:30,electronics,true,18,0.7
rec-000016,Jayme Schultz,althearyan@tate.info,10.87,2025-08-31T17:27:05+05:30,automotive,true,19,3.3
rec-000017,Jayda Becker,bethanyfoster@gibbs.org,595.06,2024-06-25T17:27:05+05:30,furniture,true,94,1.6
rec-000018,Alysa Peters,aliya_boyle@bird.io,533.05,2025-05-20T17:27:05+05:30,books,false,94,0.4
rec-000019,Roxane Burns,eball84@sparks.biz,294.39,2025-03-30T17:27:05+05:30,electronics,true,75,1.8
rec-000020,Halle Reed,estrella.pena2@satterfield.name,589.65,2025-11-15T17:27:05+05:30,food,true,60,1.2
rec-000021,Willard Brooks,vanessapurdy@bird.biz,233.33,2025-07-21T17:27:05+05:30,clothing,true,49,5.0
rec-000022,Celestine Hill,ryan.simpson@king.io,20.69,2024-07-03T17:27:05+05:30,health,true,69,4.0
rec-000023,Coby Martin,beauchristiansen@owen.info,15.97,2025-06-18T17:27:05+05:30,electronics,true,84,0.8
rec-000024,Anais Nash,blair.stewart@brown.org,112.85,2024-10-23T17:27:05+05:30,toys,true,71,0.4
rec-000025,Luciano Wells,maynard_mcclure@owen.name,540.01,2026-04-01T17:27:05+05:30,toys,true,32,2.7
rec-000026,Terence Marks,greg.rosenbaum@glover.io,866.84,2026-03-23T17:27:05+05:30,garden,true,36,2.8
rec-000027,Audie Johnston,jasminr@lowe.org,878.60,2025-06-02T17:27:05+05:30,sports,false,35,3.3
rec-000028,Harry Carr,kacey.morrison@russell.net,933.99,2025-12-05T17:27:05+05:30,toys,true,59,1.2
rec-000029,Stanley Considine,jpowers@lind.biz,772.13,2024-12-15T17:27:05+05:30,books,true,24,2.1
rec-000030,Rafael Powell,eunicehall@wells.name,510.35,2025-05-15T17:27:05+05:30,electronics,false,77,0.9
rec-000031,Al Clayton,cguzman@hunt.name,141.74,2025-09-30T17:27:05+05:30,food,true,70,3.4
rec-000032,Elisabeth Tucker,hsilva@byrd.com,486.63,2026-02-16T17:27:05+05:30,garden,true,96,2.1
rec-000033,Edgardo Johnson,berylswift@pearson.biz,240.25,2025-01-05T17:27:05+05:30,books,false,11,1.0
rec-000034,Giovanna Hartmann,eddiejenkins@fleming.name,50.01,2024-09-09T17:27:05+05:30,books,true,34,2.6
rec-000035,Russell Oliver,jmiller@wilkinson.com,368.62,2026-06-18T17:27:05+05:30,books,true,52,0.3
rec-000036,Jakob Lane,rene-little@yates.name,886.24,2025-03-22T17:27:05+05:30,automotive,true,7,4.9
rec-000037,Rowan Armstrong,dominicruiz87@dietrich.net,473.83,2024-09-08T17:27:05+05:30,clothing,true,47,2.2
rec-000038,Everett Lucas,ruthpierce80@reid.biz,810.27,2024-08-28T17:27:05+05:30,toys,true,60,2.8
rec-000039,Arvel Turner,damion.weaver@mann.com,985.32,2025-06-15T17:27:05+05:30,toys,true,27,3.0
rec-000040,Octavia Wallace,rsanders@ferguson.biz,220.63,2025-09-02T17:27:05+05:30,clothing,true,99,4.0
rec-000041,Haylie Schmitt,bgarrett@marshall.name,520.08,2024-09-07T17:27:05+05:30,toys,true,61,2.7
rec-000042,Dean Richards,nicholechen@atkins.biz,-98.00,2026-02-07T17:27:05+05:30,furniture,true,71,2.8
rec-000043,Kirk Todd,kellie.dixon70@simmons.net,281.10,2026-02-17T17:27:05+05:30,furniture,true,56,2.0
rec-000044,Jerry Mertz,juliusmason@johnson.net,489.31,2024-10-14T17:27:05+05:30,automotive,false,42,3.0
rec-000045,Pamela Horton,joseph.garza@young.net,627.22,2024-08-17T17:27:05+05:30,garden,true,20,5.0
rec-000046,Alvena Miles,delia.ashley@fernandez.io,736.72,2025-10-03T17:27:05+05:30,books,true,31,1.2
rec-000047,Coy Lewis,derricksantiago@leonard.net,443.86,2025-05-15T17:27:05+05:30,health,true,11,2.1
rec-000048,Andrew Elliott,alysson.olson90@webster.biz,134.45,2025-05-17T17:27:05+05:30,furniture,true,21,3.1
rec-000049,Bryce Sanders,addie.goldner@barber.net,891.72,2024-09-26T17:27:05+05:30,clothing,true,75,0.4
